"predictor","lambda_min","lambda_1se","selected","boot_selection_pct","stable"
"(Intercept)",6.62843,6.17057,TRUE,100,TRUE
"protocol_bin",-1.31324,-0.47381,TRUE,85.8,TRUE
"delta_RMSSD",0,0,FALSE,0.6,FALSE
"delta_SDNN",0,0,FALSE,1,FALSE
"delta_HF_log",0,0,FALSE,0.4,FALSE
"delta_LF_log",0,0,FALSE,1,FALSE
"delta_LF_nu",0,0,FALSE,0.4,FALSE
"delta_HF_nu",-0.02638,0,FALSE,2.2,FALSE
"delta_LF_HF_ratio",0,0,FALSE,0,FALSE
"delta_SampEn",0,0,FALSE,0.6,FALSE
"delta_alpha1",0,0,FALSE,0.4,FALSE
"dortho_03_RMSSD",0,0,FALSE,1.6,FALSE
"dortho_03_SDNN",0,0,FALSE,0.2,FALSE
"dortho_03_HF_log",0,0,FALSE,0.2,FALSE
"dortho_03_LF_log",0,0,FALSE,0.4,FALSE
"dortho_03_LF_nu",0,0,FALSE,0.2,FALSE
"dortho_03_HF_nu",0.10011,0,FALSE,6,FALSE
"dortho_03_LF_HF_ratio",0,0,FALSE,0,FALSE
"dortho_03_SampEn",0,0,FALSE,0,FALSE
"dortho_03_alpha1",0,0,FALSE,0,FALSE
"dortho_05_RMSSD",0,0,FALSE,0.2,FALSE
"dortho_05_SDNN",0,0,FALSE,0,FALSE
"dortho_05_HF_log",0,0,FALSE,0,FALSE
"dortho_05_LF_log",0,0,FALSE,0.4,FALSE
"dortho_05_LF_nu",0,0,FALSE,0,FALSE
"dortho_05_HF_nu",0,0,FALSE,0.2,FALSE
"dortho_05_LF_HF_ratio",0,0,FALSE,0.2,FALSE
"dortho_05_SampEn",0,0,FALSE,1.4,FALSE
"dortho_05_alpha1",0,0,FALSE,0,FALSE
