"predictor","VIF","VIF_flag"
"protocol_bin",6.281,FALSE
"delta_RMSSD",139.025,TRUE
"delta_SDNN",157.654,TRUE
"delta_HF_log",1164.384,TRUE
"delta_LF_log",4385.275,TRUE
"delta_LF_nu",1475.17,TRUE
"delta_HF_nu",87.064,TRUE
"delta_LF_HF_ratio",46.859,TRUE
"delta_SampEn",21.208,TRUE
"delta_alpha1",49.34,TRUE
"dortho_03_RMSSD",232.527,TRUE
"dortho_03_SDNN",1128.696,TRUE
"dortho_03_HF_log",2403.667,TRUE
"dortho_03_LF_log",152.201,TRUE
"dortho_03_LF_nu",326.131,TRUE
"dortho_03_HF_nu",257.029,TRUE
"dortho_03_LF_HF_ratio",56.093,TRUE
"dortho_03_SampEn",65.911,TRUE
"dortho_03_alpha1",165.73,TRUE
"dortho_05_RMSSD",22.307,TRUE
"dortho_05_SDNN",1455.698,TRUE
"dortho_05_HF_log",4456.771,TRUE
"dortho_05_LF_log",62.64,TRUE
"dortho_05_LF_nu",325.605,TRUE
"dortho_05_HF_nu",32.143,TRUE
"dortho_05_LF_HF_ratio",68.943,TRUE
"dortho_05_SampEn",59.133,TRUE
"dortho_05_alpha1",203.273,TRUE
